Year,Surgery,# of Cases
2016,Brain,3162
2015,Brain,2111
2013,Colon,7128
2015,Bladder,677
2016,Prostate,6508
2019,Breast,30413
2015,Rectum,1698
2018,Pancreas,1089
2015,Stomach,744
2016,Liver,1662
2017,Pancreas,1097
2021,Bladder,965
2014,Liver,1298
2015,Esophagus,264
2013,Stomach,1010
2014,Esophagus,354
2017,Lung,3159
2017,Breast,28164
2018,Prostate,5332
2019,Esophagus,507
2016,Bladder,1054
2014,Rectum,2239
2021,Stomach,998
2016,Esophagus,410
2013,Liver,1159
2015,Prostate,4474
2021,Lung,3119
2015,Liver,952
2018,Colon,7640
2019,Rectum,3361
2019,Stomach,1059
2016,Pancreas,1069
2016,Rectum,3300
2021,Breast,30675
2013,Lung,3145
2017,Rectum,3284
2021,Pancreas,1072
2021,Brain,3413
2020,Prostate,3662
2021,Prostate,3268
2016,Lung,3028
2019,Brain,3399
2020,Breast,26758
2017,Brain,3268
2014,Bladder,897
2018,Stomach,969
2013,Breast,25829
2020,Brain,3313
2019,Lung,3317
2015,Colon,5456
2014,Pancreas,877
2013,Brain,2719
2018,Rectum,3323
2014,Colon,7335
2015,Lung,2508
2018,Esophagus,430
2018,Bladder,938
2019,Colon,7409
2014,Brain,2858
2013,Prostate,6145
2021,Rectum,3338
2017,Bladder,1037
2019,Bladder,966
2019,Prostate,4997
2016,Stomach,980
2018,Liver,1616
2020,Colon,6736
2015,Pancreas,656
2014,Lung,3269
2015,Breast,19914
2020,Bladder,938
2016,Breast,27495
2014,Prostate,5434
2021,Esophagus,451
2016,Colon,7623
2013,Rectum,2128
2021,Colon,7440
2017,Stomach,948
2020,Rectum,3168
2017,Colon,7525
2018,Breast,29349
2020,Esophagus,481
2020,Pancreas,1092
2017,Liver,1587
2014,Breast,25290
2013,Bladder,892
2018,Lung,3183
2019,Liver,1522
2014,Stomach,1030
2020,Liver,1380
2019,Pancreas,1124
2020,Lung,3067
2017,Prostate,6921
2017,Esophagus,471
2020,Stomach,960
2018,Brain,3363
2021,Liver,1504
2013,Esophagus,337
2013,Pancreas,819
2013,Colon,3
2021,Colon,3
2013,Breast,2
2019,Colon,2
2020,Rectum,1
2016,Rectum,2
2016,Breast,2
2018,Breast,2
2017,Colon,1
2014,Rectum,1
2017,Breast,2
2021,Rectum,1
2014,Breast,3
2015,Breast,3
2018,Colon,3
2021,Bladder,1
2018,Stomach,1
2015,Rectum,1
2014,Colon,2
2016,Colon,4
2013,Stomach,1
2015,Colon,4
2021,Liver,1
2017,Rectum,2
2020,Prostate,1
2013,Colon,12
2019,Pancreas,1
2016,Brain,10
2019,Breast,81
2021,Breast,73
2017,Liver,2
2020,Rectum,3
2014,Brain,7
2016,Prostate,3
2018,Pancreas,2
2015,Stomach,2
2014,Breast,80
2017,Prostate,3
2014,Stomach,2
2017,Colon,9
2014,Colon,12
2018,Prostate,2
2016,Pancreas,1
2014,Lung,4
2017,Brain,7
2015,Colon,8
2021,Colon,8
2021,Brain,11
2019,Rectum,1
2016,Colon,15
2021,Liver,1
2013,Prostate,4
2013,Esophagus,1
2015,Prostate,3
2020,Colon,7
2015,Pancreas,1
2018,Brain,6
2017,Pancreas,2
2018,Liver,1
2015,Breast,73
2014,Rectum,2
2017,Stomach,3
2017,Breast,75
2021,Stomach,2
2014,Pancreas,1
2017,Rectum,1
2019,Prostate,1
2015,Lung,3
2020,Breast,70
2019,Brain,14
2019,Stomach,3
2013,Breast,95
2020,Prostate,2
2021,Prostate,3
2018,Rectum,3
2021,Pancreas,2
2013,Rectum,2
2018,Stomach,2
2015,Brain,3
2016,Breast,74
2020,Brain,15
2018,Colon,12
2013,Brain,8
2019,Colon,12
2013,Lung,6
2020,Stomach,2
2021,Rectum,10
2016,Stomach,1
2014,Prostate,3
2018,Breast,60
2015,Liver,1
2016,Rectum,2
2019,Brain,6
2017,Bladder,1
2015,Lung,4
2021,Liver,5
2015,Prostate,9
2019,Esophagus,1
2021,Breast,57
2018,Stomach,5
2014,Brain,8
2014,Esophagus,1
2013,Breast,34
2016,Lung,7
2018,Bladder,1
2021,Prostate,16
2015,Brain,3
2013,Colon,22
2020,Brain,5
2014,Prostate,7
2019,Liver,6
2013,Prostate,8
2018,Rectum,11
2013,Pancreas,1
2019,Pancreas,3
2016,Breast,53
2013,Rectum,6
2017,Prostate,20
2013,Esophagus,2
2020,Rectum,4
2014,Rectum,4
2020,Bladder,3
2016,Esophagus,3
2016,Prostate,16
2018,Colon,10
2019,Prostate,19
2016,Stomach,2
2018,Breast,37
2019,Breast,36
2021,Bladder,4
2016,Rectum,16
2013,Lung,12
2018,Lung,4
2021,Rectum,4
2017,Esophagus,2
2020,Lung,2
2014,Liver,1
2017,Lung,7
2018,Brain,4
2015,Liver,1
2015,Colon,13
2019,Bladder,4
2018,Prostate,17
2014,Lung,5
2013,Brain,1
2020,Colon,15
2016,Bladder,2
2019,Colon,16
2015,Rectum,3
2019,Stomach,2
2019,Rectum,7
2014,Pancreas,2
2015,Breast,42
2015,Esophagus,1
2021,Brain,8
2014,Breast,44
2015,Stomach,2
2017,Colon,12
2020,Prostate,11
2020,Breast,46
2021,Colon,14
2013,Stomach,3
2015,Pancreas,2
2020,Stomach,3
2017,Rectum,8
2021,Lung,2
2020,Esophagus,1
2014,Colon,20
2014,Stomach,1
2016,Liver,1
2021,Stomach,1
2017,Breast,38
2019,Lung,8
2016,Colon,13
2017,Pancreas,2
2017,Stomach,2
2014,Pancreas,11
2014,Prostate,15
2014,Bladder,13
2014,Stomach,10
2013,Lung,46
2014,Lung,20
2014,Colon,35
2014,Esophagus,10
2013,Esophagus,14
2013,Liver,13
2013,Colon,74
2013,Breast,293
2013,Rectum,24
2013,Stomach,14
2013,Bladder,21
2014,Liver,10
2014,Breast,159
2013,Pancreas,12
2014,Rectum,13
2013,Prostate,59
2014,Bladder,4
2013,Lung,21
2014,Colon,26
2014,Liver,4
2013,Colon,43
2014,Breast,101
2014,Prostate,2
2014,Lung,7
2014,Pancreas,1
2013,Bladder,9
2014,Stomach,5
2013,Liver,10
2013,Breast,194
2013,Esophagus,1
2013,Rectum,19
2014,Rectum,6
2013,Pancreas,6
2013,Prostate,2
2013,Stomach,7
2018,Rectum,1
2021,Liver,8
2018,Pancreas,13
2015,Lung,12
2016,Pancreas,6
2014,Breast,311
2015,Prostate,15
2021,Esophagus,6
2013,Prostate,19
2021,Pancreas,3
2014,Pancreas,6
2019,Colon,48
2019,Lung,26
2020,Lung,22
2013,Colon,43
2020,Rectum,22
2017,Stomach,15
2020,Breast,259
2019,Breast,298
2015,Breast,215
2019,Stomach,15
2021,Breast,369
2014,Prostate,24
2016,Breast,292
2020,Bladder,1
2013,Breast,208
2019,Esophagus,1
2017,Liver,7
2015,Liver,9
2015,Colon,49
2016,Colon,88
2013,Rectum,14
2018,Liver,9
2020,Colon,51
2018,Rectum,28
2017,Rectum,28
2016,Bladder,2
2020,Pancreas,6
2018,Stomach,15
2021,Lung,24
2018,Colon,63
2019,Bladder,5
2013,Esophagus,2
2017,Lung,23
2014,Liver,7
2015,Pancreas,2
2017,Breast,303
2018,Prostate,25
2014,Lung,15
2015,Esophagus,1
2018,Bladder,1
2017,Esophagus,6
